Temperature,ADC_Value,Voltage,Time,FSM_State_Index,Heater_Currently_On
52998,3970,3199,1927,0,0
52780,3971,3200,2188,0,0
52780,3971,3200,2449,0,0
52560,3972,3200,2710,0,0
52780,3971,3200,2971,0,0
53644,3967,3196,3232,0,0
52780,3971,3200,3493,0,0
53215,3969,3198,3754,0,0
52117,3974,3202,4015,0,0
53215,3969,3198,4276,0,0
53644,3967,3196,4537,0,0
53215,3969,3198,4798,0,0
53215,3969,3198,5059,1,1
53644,3967,3196,5320,1,1
53215,3969,3198,5581,1,1
53857,3966,3196,5842,1,1
53430,3968,3197,6103,1,1
53430,3968,3197,6364,1,1
53215,3969,3198,6625,1,1
53857,3966,3196,6886,1,1
48587,3989,3214,7147,1,1
53644,3967,3196,7408,1,1
53857,3966,3196,7669,1,1
53430,3968,3197,7930,1,1
53215,3969,3198,8191,1,1
52560,3972,3200,8452,1,1
54278,3964,3194,8713,1,1
53430,3968,3197,8974,1,1
53430,3968,3197,9235,1,1
53857,3966,3196,9496,1,1
53857,3966,3196,9757,1,1
54278,3964,3194,10018,1,1
53857,3966,3196,10279,2,1
54068,3965,3195,10540,2,1
54068,3965,3195,10801,2,1
53857,3966,3196,11062,2,1
53644,3967,3196,11323,2,1
53857,3966,3196,11584,2,1
54901,3961,3192,11845,2,1
54278,3964,3194,12106,2,1
53644,3967,3196,12367,2,1
54487,3963,3193,12628,2,1
53857,3966,3196,12889,2,1
53857,3966,3196,13150,2,1
53644,3967,3196,13411,2,1
54278,3964,3194,13672,2,1
54068,3965,3195,13933,2,1
53857,3966,3196,14194,2,1
53644,3967,3196,14455,2,1
54487,3963,3193,14716,2,1
54068,3965,3195,14977,2,1
54487,3963,3193,15238,2,1
54068,3965,3195,15499,2,1
54278,3964,3194,15760,2,1
54278,3964,3194,16021,2,1
55513,3958,3189,16282,2,1
53857,3966,3196,16543,2,1
54278,3964,3194,16804,2,1
54487,3963,3193,17065,2,1
54901,3961,3192,17326,2,1
54901,3961,3192,17587,2,1
54278,3964,3194,17848,2,1
54068,3965,3195,18109,2,1
54068,3965,3195,18370,2,1
54901,3961,3192,18631,2,1
54901,3961,3192,18892,2,1
54695,3962,3192,19153,2,1
55106,3960,3191,19414,2,1
54487,3963,3193,19675,2,1
54487,3963,3193,19936,2,1
54901,3961,3192,20197,2,1
54278,3964,3194,20458,2,1
54695,3962,3192,20719,2,1
55106,3960,3191,20980,2,1
54695,3962,3192,21241,2,1
55106,3960,3191,21502,2,1
55310,3959,3190,21763,2,1
55106,3960,3191,22024,2,1
54695,3962,3192,22285,2,1
55310,3959,3190,22546,2,1
55310,3959,3190,22807,2,1
55310,3959,3190,23068,2,1
55714,3957,3188,23329,2,1
55714,3957,3188,23590,2,1
54901,3961,3192,23851,2,1
55310,3959,3190,24112,2,1
56312,3954,3186,24373,2,1
55106,3960,3191,24634,2,1
55513,3958,3189,24895,2,1
55310,3959,3190,25156,2,1
55513,3958,3189,25417,2,1
56114,3955,3187,25678,2,1
55513,3958,3189,25939,2,1
55513,3958,3189,26200,2,1
56312,3954,3186,26461,2,1
55714,3957,3188,26722,2,1
56312,3954,3186,26983,2,1
55714,3957,3188,27244,2,1
56312,3954,3186,27505,2,1
54487,3963,3193,27766,2,1
